Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683657568.072660,29846,7,1
1,ReadModifyWrite,1683657568.074658,34773,3,1
1,ReadModifyWrite,1683657568.075971,36083,13,1
1,ReadModifyWrite,1683657568.077141,26713,28,1
1,ReadModifyWrite,1683657568.077656,29543,2,1
1,ReadModifyWrite,1683657568.086565,24608,18,1
1,ReadModifyWrite,1683657568.087283,24537,17,1
1,ReadModifyWrite,1683657568.087417,21270,26,1
1,ReadModifyWrite,1683657568.091175,1035490,5,1
1,ReadModifyWrite,1683657568.092094,16348,14,1
1,ReadModifyWrite,1683657568.092165,1014183,30,1
1,ReadModifyWrite,1683657568.095962,1018447,22,1
1,ReadModifyWrite,1683657568.096484,2056061,10,1
1,ReadModifyWrite,1683657568.098370,6530,11,1
1,ReadModifyWrite,1683657568.100365,8629,6,1
1,ReadModifyWrite,1683657568.101581,3058399,9,1
1,ReadModifyWrite,1683657568.101645,14910,23,1
1,ReadModifyWrite,1683657568.102175,2051353,27,1
1,ReadModifyWrite,1683657568.102513,7341,7,1
1,ReadModifyWrite,1683657568.103307,3030499,21,1
1,ReadModifyWrite,1683657568.103634,3051611,8,1
1,ReadModifyWrite,1683657568.103715,1002803,15,1
1,ReadModifyWrite,1683657568.103861,3083527,28,1
1,ReadModifyWrite,1683657568.104554,1007930,29,1
1,ReadModifyWrite,1683657568.104908,6291,11,1
1,ReadModifyWrite,1683657568.105763,3081836,25,1
1,ReadModifyWrite,1683657568.105873,7198,12,1
1,ReadModifyWrite,1683657568.105941,2008376,31,1
1,ReadModifyWrite,1683657568.106024,1003886,1,1
1,ReadModifyWrite,1683657568.106178,3050998,19,1
1,ReadModifyWrite,1683657568.106615,3007595,24,1
1,ReadModifyWrite,1683657568.107228,3085376,2,1
1,ReadModifyWrite,1683657568.108451,2021186,14,1
1,ReadModifyWrite,1683657568.108696,3046824,26,1
1,ReadModifyWrite,1683657568.109003,991512,6,1
1,ReadModifyWrite,1683657568.109438,1001874,3,1
1,ReadModifyWrite,1683657568.109859,1010291,7,1
1,ReadModifyWrite,1683657568.110875,2002095,16,1
1,ReadModifyWrite,1683657568.110909,4015760,4,1
1,ReadModifyWrite,1683657568.111181,4007230,18,1
1,ReadModifyWrite,1683657568.111208,3073038,11,1
1,ReadModifyWrite,1683657568.111828,1012105,17,1
1,ReadModifyWrite,1683657568.112061,3002784,13,1
1,ReadModifyWrite,1683657568.113080,3077402,12,1
1,ReadModifyWrite,1683657568.116561,5013798,23,1
1,ReadModifyWrite,1683657569.098553,2082121,0,1
1,ReadModifyWrite,1683657569.100525,2032387,6,1
1,ReadModifyWrite,1683657569.106359,4026835,30,1
1,ReadModifyWrite,1683657569.106525,4023834,15,1
1,ReadModifyWrite,1683657569.107297,4023286,20,1
1,ReadModifyWrite,1683657569.109916,2076762,1,1
1,ReadModifyWrite,1683657569.111320,4015493,3,1
1,ReadModifyWrite,1683657569.112492,2046148,29,1
1,ReadModifyWrite,1683657569.114417,1063534,22,1
1,ReadModifyWrite,1683657569.120156,3002506,7,1
1,ReadModifyWrite,1683657569.123940,1990910,17,1
1,ReadModifyWrite,1683657569.126676,2058309,5,1
1,ReadModifyWrite,1683657570.112982,64907,16,1
1,ReadModifyWrite,1683657570.114325,1065959,31,1
1,ReadModifyWrite,1683657570.129653,3005928,14,1
1,ReadModifyWrite,1683657570.152561,1038799,10,1
1,ReadModifyWrite,1683657570.153539,1037710,27,1
1,ReadModifyWrite,1683657570.177912,2956933,16,1
1,ReadModifyWrite,1683657570.177956,2959611,22,1
1,ReadModifyWrite,1683657571.114263,74176,24,1
1,ReadModifyWrite,1683657571.114876,1048332,17,1
1,ReadModifyWrite,1683657571.114909,2025346,13,1
1,ReadModifyWrite,1683657571.132922,3004914,6,1
1,ReadModifyWrite,1683657571.133816,4876,21,1
1,ReadModifyWrite,1683657571.138701,1997541,21,1
1,ReadModifyWrite,1683657571.155255,2980693,8,1
1,ReadModifyWrite,1683657571.155528,1977462,26,1
1,ReadModifyWrite,1683657571.157185,1978320,19,1
1,ReadModifyWrite,1683657571.158648,1006692,29,1
1,ReadModifyWrite,1683657571.159987,1963539,9,1
1,ReadModifyWrite,1683657571.180315,1966766,31,1
1,ReadModifyWrite,1683657571.180685,12714,0,1
1,ReadModifyWrite,1683657571.184254,1953988,11,1
1,ReadModifyWrite,1683657571.185003,1948102,5,1
1,ReadModifyWrite,1683657571.186686,1951668,1,1
1,ReadModifyWrite,1683657571.187450,1944848,28,1
1,ReadModifyWrite,1683657571.187609,2957293,25,1
1,ReadModifyWrite,1683657571.188446,1947059,24,1
1,ReadModifyWrite,1683657571.190490,2953208,12,1
1,ReadModifyWrite,1683657571.191257,1938628,27,1
1,ReadModifyWrite,1683657571.191370,4961724,10,1
